permit number,description,building type,completed date
6675024-CN,"Construct north bldg. 1, per plan (Establish use as townhouses and construct 2 two-family dwellings and associated site work, per plans. Reviews and processing for 2 C/N's under 6675024-CN)",Single Family/Duplex,2021-04-09
6771507-CN,"Establish use as and construct single family residence, per standard plan 6768368-SP.",Single Family/Duplex,2021-04-08
6761090-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2021-04-08
6692206-CN,"Establish use as and construct new townhomes, per plan.",Multifamily,2021-04-08
6725536-CN,"Construct west townhouse structure, per plan. [Establish use as rowhouses and townhouses and Construct (2) townhouse structures, per plan. Review and processing for (2) construction records under 6695204-CN.]",Multifamily,2021-04-08
6691053-CN,"Establish use as and construct a duplex with surface parking, per plan.",Single Family/Duplex,2021-04-08
6691050-CN,"Establish use as rowhouse and construct duplex, per plan.",Single Family/Duplex,2021-04-08
6713518-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-04-07
6748934-CN,"Establish use and Construct single-family residence, per plan.",Single Family/Duplex,2021-04-06
6656304-CN,"Construct South single family residence with surface parking, per plan. (Establish use as and construct three single family residences, per plan. Three A/P's under 6638882).",Single Family/Duplex,2021-04-05
6547842-CN,"Construct new townhouse structure (BLDG 2) in the middle, per plan. [Establish use as and construct 3 new townhouse structures with attached parking, per plan. Review and processing for 3 records under #6547842-CN.]",Multifamily,2021-04-05
6699677-CN,"Construct new live/work structure with surface parking, per plan.",Multifamily,2021-04-02
6677318-CN,"Establish use as and construct a single family residence and site shoring, per plans",Single Family/Duplex,2021-04-01
6706058-CN,"Establish use as rowhouse and construct a townhouse structure, per plan.",Multifamily,2021-04-01
6679206-CN,"Remove accessory garage and construct single family dwelling, per plan.",Single Family/Duplex,2021-03-31
6676979-CN,"Construct east 4-unit townhouse structure, per plans.  (Establish use as townhouses and construct two 4-unit townhouses.  Reviews and processing for 2 construction records under 6670911-CN).",Multifamily,2021-03-31
6702475-CN,"Construct south townhouse, per plan. (Establish use as rowhouse, and construct (2) townhouse structures, per plan. Review & process 2 records under 6702475-CN).",Multifamily,2021-03-31
6721743-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-03-31
6731404-CN,"Construct east townhouse, per plan. (Establish use as rowhouse, and construct (2) townhouse structures, per plan. Review & process 2 records under 6702475-CN).",Multifamily,2021-03-31
6715221-CN,"Establish use as and construct new single family residence and detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2021-03-31
6710139-CN,"Construct EAST townhouse - building B, per plan (Establish use and construct east and west townhouse residences.  Review and process for two records under 6697990-CN)",Multifamily,2021-03-31
6627508-CN,"Establish use as townhouses and construct 6-unit townhouse, per plans.",Multifamily,2021-03-31
6627510-CN,"Establish use as and construct a townhouse building, per plans.",Multifamily,2021-03-31
6756865-CN,"Construct South Single family residence, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865).",Single Family/Duplex,2021-03-30
6763540-CN,"Construct North Single family residence, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865).",Single Family/Duplex,2021-03-30
6763539-CN,"Construct Middle duplex, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865).",Single Family/Duplex,2021-03-30
6721875-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-03-30
6656303-CN,"Construct Middle single family residence with surface parking, per plan. (Establish use as and construct three single family residences, per plan. Three A/P's under 6638882).",Single Family/Duplex,2021-03-30
6638882-CN,"Construct North single family residence with surface parking, per plan. (Establish use as and construct three single family residences, per plan. Three A/P's under 6638882).",Single Family/Duplex,2021-03-30
6698214-CN,"Establish use as row house and construct a townhouse structure with surface parking, per plan.",Multifamily,2021-03-29
6694430-CN,"Establish use and construct multifamily residence with townhouse and live/work units and occupy, per plan.",Multifamily,2021-03-29
6612820-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2021-03-29
6737945-CN,"Construct single family residence with attached garage, per plan",Single Family/Duplex,2021-03-26
6735598-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-03-26
6691153-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2021-03-26
6570510-CN,"Construct 3-unit townhouse with attached garage, per plan.",Multifamily,2021-03-26
6743716-CN,"Establish use as townhouses and construct 7-unit townhouse structure, per plans.",Multifamily,2021-03-25
6668973-CN,"Establish use as and construct a rowhouse building with attached garages, per plan,",Multifamily,2021-03-25
6735487-CN,"Establish use as and construct a duplex, per plan.(Existing single-family dwelling to remain)",Single Family/Duplex,2021-03-24
6674768-CN,"Establish use as rowhouse and construct new townhouse structure, per plan.",Multifamily,2021-03-24
6607401-CN,"Establish use as and construct a single family residence with attached garage, per plans.",Single Family/Duplex,2021-03-23
6653806-CN,"Shoring and excavation for future construction of a mixed use building with below grade parking, per plan.",Multifamily,2021-03-23
6445306-CN,"Construct a multifamily structure, occupy per plan.",Multifamily,2021-03-23
6614256-CN,"Establish use as and construct a multi-family building, occupy per plans",Multifamily,2021-03-22
6638041-CN,"Establish use as duplex and construct two-family dwelling, per plan.",Multifamily,2021-03-22
6743162-CN,"Establish use and Construct duplex townhouse, per plan. Existing Single-Family residence, and east garage to remain.",Single Family/Duplex,2021-03-19
6679155-CN,"Establish Use as Townhouse and Live work and construct 2 townhouse units and 4 live work units, per plan.",Multifamily,2021-03-18
6718865-CN,"Establish use as and construct new single family residence with attached garage & ADU, per plan.",Single Family/Duplex,2021-03-17
6730364-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-03-17
6645390-CN,"Establish use as and construct new townhouse, per plan.",Multifamily,2021-03-16
6526715-CN,"Establish use as and construct new single family residence with attached accessory dwelling unit (ADU), per plan.Demolition of existing structures under separate permit.",Single Family/Duplex,2021-03-16
6696784-CN,"Establish use as and construct a duplex with attached garages, per plan.",Single Family/Duplex,2021-03-15
6789531-CN,"Construct storage shed accessory to single-family residence, subject to field inspection [STFI].",Single Family/Duplex,2021-03-12
6693530-CN,"Establish use as and construct a single-family residence with surface parking, per plan.",Single Family/Duplex,2021-03-12
6690144-CN,"Establish use as and construct a single-family residence with an attached garage, per plan.",Single Family/Duplex,2021-03-12
6677457-CN,"Establish use as rowhouse and construct 6-unit townhouse, per plan.",Multifamily,2021-03-11
6566669-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2021-03-11
6808399-CN,"Remove detached garage and construct new detached garage to a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2021-03-10
6762451-CN,"Construct new single family residence with attached accessory dwelling unit (AADU) and convert existing single family residence into a detached accessory dwelling unit (DADU), all per plan.",Single Family/Duplex,2021-03-09
6710520-CN,"Establish use as and construct a single-family residence and detached garage, per plan.",Single Family/Duplex,2021-03-09
6731203-CN,"Establish use as and construct single family residence and detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2021-03-09
6790611-CN,PLEASE SCREEN FOR STFI NO ECA REVIEW REQUIRED PER 6790642-EX*****rebuilding a single car garage.,Single Family/Duplex,2021-03-08
