,PermitNum,PermitClass,AppliedDate,CompletedDate,Description
0,6772948-CN,Single Family/Duplex,2020-02-28,2021-02-10,"Establish use as and construct new single family residence, per plan."
1,6771507-CN,Single Family/Duplex,2020-02-25,2021-04-08,"Establish use as and construct single family residence, per standard plan 6768368-SP."
2,6754329-CN,Single Family/Duplex,2020-01-07,2021-01-20,"Establish use as and construct new single family residence, per plan."
3,6763539-CN,Single Family/Duplex,2019-12-18,2021-03-30,"Construct Middle duplex, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865)."
4,6756865-CN,Single Family/Duplex,2019-12-18,2021-03-30,"Construct South Single family residence, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865)."
5,6763540-CN,Single Family/Duplex,2019-12-18,2021-03-30,"Construct North Single family residence, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865)."
6,6744746-CN,Single Family/Duplex,2019-11-25,2021-01-28,"Establish use as and construct new single family residence, per plan."
7,6756859-CN,Single Family/Duplex,2019-11-19,2021-01-19,"Establish use as and construct new single family residence with attached garage and detached accessory dwelling unit (DADU), per plan"
8,6753091-CN,Single Family/Duplex,2019-11-07,2021-01-21,"Establish use as and construct a new single family residence with attached garage and one Detached Accessory Dwelling Unit, per plan."
9,6737945-CN,Single Family/Duplex,2019-11-01,2021-03-26,"Construct single family residence with attached garage, per plan"
10,6753855-CN,Single Family/Duplex,2019-10-31,2020-09-30,"Establish use as and construct single family residence with attached garage, per plan"
11,6730364-CN,Single Family/Duplex,2019-09-16,2021-03-17,"Establish use as and construct single family residence, per plan."
12,6742714-CN,Single Family/Duplex,2019-09-11,2020-09-10,"Establish use as and construct single family residence, per plan."
13,6739647-CN,Single Family/Duplex,2019-09-05,2021-01-20,"Establish use and construct single family residence, per plan."
14,6731203-CN,Single Family/Duplex,2019-09-04,2021-03-09,"Establish use as and construct single family residence and detached accessory dwelling unit (DADU), per plan."
15,6735598-CN,Single Family/Duplex,2019-08-15,2021-03-26,"Establish use as and construct new single family residence, per plan."
16,6721878-CN,Single Family/Duplex,2019-08-06,2021-02-03,"Establish use as and construct single family residence with attached accessory dwelling unit, per plan."
17,6723091-CN,Single Family/Duplex,2019-08-05,2021-02-09,"Establish use as and construct new single family residence, per plan."
18,6732825-CN,Single Family/Duplex,2019-08-05,2020-07-30,Establish use as and construct single family residence per plan.
19,6734875-CN,Single Family/Duplex,2019-07-12,2020-10-23,"Establish use as and construct new single family residence with attached garage, per plan. (Establish Standard Plan, 2nd review done under 6725615-CN)"
20,6735908-CN,Single Family/Duplex,2019-07-08,2020-05-29,"Establish use as and construct new single family residence, per plan."
21,6732494-CN,Single Family/Duplex,2019-07-04,2020-10-29,Construct west single family residence (Establish use as and construct (2) single family residences.  Review and process (2) records under 6732494-CN).
22,6736289-CN,Single Family/Duplex,2019-07-04,2020-10-29,Construct east single family residence (Establish use as and construct (2) single family residences.  Review and process (2) records under 6732494-CN).
23,6725615-CN,Single Family/Duplex,2019-07-02,2020-09-16,"Establish use as and construct single family residence with attached garage, per plan. (Establish Standard Plan, 1st review done under 6734875-CN)"
24,6718865-CN,Single Family/Duplex,2019-06-28,2021-03-17,"Establish use as and construct new single family residence with attached garage & ADU, per plan."
25,6715221-CN,Single Family/Duplex,2019-06-26,2021-03-31,"Establish use as and construct new single family residence and detached accessory dwelling unit (DADU), per plan."
26,6715487-CN,Single Family/Duplex,2019-06-24,2020-07-21,"Establish use as single family residence and construct new single family residence and new detached garage, per plans."
27,6713518-CN,Single Family/Duplex,2019-06-21,2021-04-07,"Establish use as and construct new single family residence, per plan."
28,6731980-CN,Single Family/Duplex,2019-06-10,2021-01-27,"Construct new West Middle single family residence (bldg B), per plan. (Establish use as and construct 4 new single family residences, per plan. Review & process for 4 records under permit # 6696544-CN)."
29,6731987-CN,Single Family/Duplex,2019-06-10,2021-01-27,"Construct new East single family residence (bldg D), per plan. (Establish use as and construct 4 new single family residences, per plan. Review & process for 4 records under permit # 6696544-CN)."
30,6731984-CN,Single Family/Duplex,2019-06-10,2021-01-27,"Construct new East Middle single family residence (bldg C), per plan. (Establish use as and construct 4 new single family residences, per plan. Review & process for 4 records under permit # 6696544-CN)."
31,6729256-CN,Single Family/Duplex,2019-06-04,2020-12-16,"Establish use as and construct new single family residence, per plan."
32,6708954-CN,Single Family/Duplex,2019-05-17,2020-09-30,"Establish use as and construct new single family residence with attached garage, per plan."
33,6706090-CN,Single Family/Duplex,2019-05-13,2021-01-27,"Establish use as and construct single family residence, per plan.   (Establish Standard Plan, 2nd review done under 6745573-CN)"
34,6693987-CN,Single Family/Duplex,2019-05-08,2020-09-16,"Construct East single family residence #1, per plan. (Establish use as and construct 2 new single-family residences with attached garages. Review and process for 2 record numbers under 6693987-CN)"
35,6726406-CN,Single Family/Duplex,2019-05-08,2020-09-14,"Construct West single family residence #2, per plan. (Establish use as and construct 2 new single-family residences with attached garages. Review and process for 2 record numbers under 6693987-CN)"
36,6699218-CN,Single Family/Duplex,2019-04-24,2020-07-01,"Construct middle single family residence, per plan (Establish use as and construct 3 new single family residences. Review and process for 3 record numbers under 6680702-CN)."
37,6699220-CN,Single Family/Duplex,2019-04-24,2020-07-01,"Construct east single family residence, per plan (Establish use as and construct 3 new single family residences. Review and process for 3 record numbers under 6680702-CN)."
38,6708758-CN,Single Family/Duplex,2019-04-23,2020-07-15,"Establish use as and construct single family residence with detached accessory dwelling unit (DADU), per plan.(Establish Standard Plan, 1st review done under 6708509-CN)"
39,6721743-CN,Single Family/Duplex,2019-04-22,2021-03-31,"Establish use as and construct new single family residence, per plan."
40,6721875-CN,Single Family/Duplex,2019-04-19,2021-03-30,"Establish use as and construct new single family residence, per plan."
41,6721249-CN,Single Family/Duplex,2019-04-11,2019-12-06,"Establish use as and construct new single family residence, per plan."
42,6716986-CN,Single Family/Duplex,2019-04-11,2020-08-07,"Establish use as and construct new single family residence, per plan."
43,6711295-CN,Single Family/Duplex,2019-04-04,2021-02-05,"Establish use as and construct single family residence, per plan."
44,6704829-CN,Single Family/Duplex,2019-03-25,2020-07-14,"Establish use as and construct new single family residence, per plan."
45,6706152-CN,Single Family/Duplex,2019-03-13,2020-07-16,"Establish use as and construct new single family residence, per plan."
46,6711555-CN,Single Family/Duplex,2019-03-06,2020-10-12,"Establish use as and construct new single family residence, per plan."
