,PermitNum,PermitClass,AppliedDate,CompletedDate,Description
0,6763540-CN,Single Family/Duplex,2019-12-18,2021-03-30,"Construct North Single family residence, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865)."
1,6756865-CN,Single Family/Duplex,2019-12-18,2021-03-30,"Construct South Single family residence, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865)."
2,6763539-CN,Single Family/Duplex,2019-12-18,2021-03-30,"Construct Middle duplex, per plan (Establish use as single family residence and townhouse and construct (2) single family residences and (1) duplex, review and process for 3 CN's under 6756865)."
3,6747064-CN,Multifamily,2019-09-07,2021-01-19,"Construct East townhouse building B, per plan. (Establish use as townhouse and construct a duplex and a townhouse structure with surface parking, per plan. Review and process for 2 record numbers under 6738378-CN)"
4,6744045-CN,Multifamily,2019-08-19,2021-01-27,"Construct north building (Establish use as townhouse and construct 2 duplex structures, per plan. Review & process for 2 records under #6735161-CN)."
5,6735161-CN,Multifamily,2019-08-19,2021-01-27,"Construct south building (Establish use as townhouse and construct 2 duplex structures, per plan. Review & process for 2 records under #6735161-CN)."
6,6712225-CN,Single Family/Duplex,2019-08-14,2020-09-10,"Construct East duplex, per plan. (Establish use as and construct 2 duplexes. Review and process for two records under 6698139-CN)."
7,6709609-CN,Single Family/Duplex,2019-07-31,2020-07-22,"Construct new East duplex, per plan. (Establish use as rowhouse and townhouse and construct 2 new duplexes, per plan. Review & process for 2 records under permit #6700802-CN)."
8,6696543-CN,Single Family/Duplex,2019-06-05,2020-10-23,"Establish use as and construct a duplex with surface parking, per plan."
9,6722663-CN,Single Family/Duplex,2019-04-17,2020-12-07,"Construct new duplex (east building), per plan. (Establish use as townhouse and construct 3 duplexes review and process for 3 CN's under 6702897-CN)"
10,6719788-CN,Multifamily,2019-04-02,2021-01-28,"Construct East duplex, per plan. (Establish use as townhouse and rowhouse and construct (1) townhouse and (1) duplex structure, per plan. Review and process for (2) records under 6718999-CN)."
11,6718999-CN,Multifamily,2019-04-02,2021-01-28,"Construct West townhouse, per plan. (Establish use as townhouse and rowhouse and construct (1) townhouse and (1) duplex structure, per plan. Review and process for (2) records under 6718999-CN)."
12,6716049-CN,Single Family/Duplex,2019-03-09,2021-01-22,"Construct north duplex, per plan. (Establish use as and construct 2 duplexes with attached garages, per plan. Review and process for 2 record numbers under 6699406-CN)"
13,6699406-CN,Single Family/Duplex,2019-03-08,2021-01-22,"Construct south duplex, per plan. (Establish use as and construct 2 duplexes with attached garages, per plan. Review and process for 2 record numbers under 6699406-CN)"
14,6701091-CN,Single Family/Duplex,2019-03-04,2021-02-04,"Establish use as and construct a duplex with surface parking, per plan."
15,6706591-CN,Single Family/Duplex,2019-02-28,2020-10-13,"Construct new duplex, per plan."
16,6707066-CN,Single Family/Duplex,2019-02-15,2020-05-29,"Establish use as rowhouse and construct new duplex building, per plan."
17,6699414-CN,Multifamily,2019-02-13,2021-03-08,"Construct East townhouse structure, per plan. (Establish use as and construct one townhouse and one duplex, per plan.  Review and process for 2 records under permit #6699414-CN)."
18,6702350-CN,Single Family/Duplex,2019-02-13,2020-08-07,Construct WEST duplex (Establish use as townhomes and construct west and east two family dwellings; review and processing for two records under 6702350-CN).
19,6712245-CN,Multifamily,2019-02-13,2021-02-24,"Construct West duplex, per plan. (Establish use as and construct one townhouse and one duplex, per plan.  Review and process for 2 records under permit #6699414-CN)."
20,6705229-CN,Single Family/Duplex,2019-02-13,2020-08-18,Construct east duplex (Establish use as townhomes and construct west and east two family dwellings; review and processing for two records under 6702350-CN).
21,6698139-CN,Single Family/Duplex,2019-02-12,2020-08-27,"Construct West duplex, per plan (Establish use as and construct 2 duplexes. Review and process for two records under 6698139-CN)."
22,6700802-CN,Single Family/Duplex,2019-01-24,2020-07-22,"Construct new West duplex, per plan. (Establish use as rowhouse and townhouse and construct 2 new duplexes, per plan.  Review & process for 2 records under permit #6700802-CN)."
23,6696784-CN,Single Family/Duplex,2019-01-15,2021-03-15,"Establish use as and construct a duplex with attached garages, per plan."
24,6691050-CN,Single Family/Duplex,2018-12-20,2021-04-08,"Establish use as rowhouse and construct duplex, per plan."
25,6691053-CN,Single Family/Duplex,2018-12-02,2021-04-08,"Establish use as and construct a duplex with surface parking, per plan."
